WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	365	22.70		1.60
WS2	233	23.13		1.40
WS3	695	51.41		1.20
WS4	365	22.28		1.40
WS5	299	23.13		1.20
WS6	242	17.14		1.20
WS7	193	23.13		1.20
WS8	182	21.85		1.20
WS9	192	25.27		1.00
WS10	792	45.41		1.40
WS11	220	28.70		1.00
WS12	351	26.56		1.20
WS13	358	23.99		1.40
WS14	122	26.56		0.80
WS15	253	30.84		1.20
WS16	162	17.99		1.00
WS17	494	53.55		1.20
WS18	565	37.27		1.40
WS19	345	23.56		1.20
WS20	162	19.71		1.20
WS21	147	18.85		1.00
WS22	130	16.71		1.20
WS23	544	38.55		1.60
WS24	154	18.42		1.20
WS25	288	27.85		1.20
WS26	182	25.70		1.00
WS27	270	26.13		1.20
WS28	187	21.42		1.20
WS29	123	16.28		1.00
WS30	120	13.71		1.00
WS31	139	22.70		0.80
WS32	184	31.70		1.00
WS33	180	24.42		1.00
WS34	332	34.27		1.20
WS35	601	66.83		1.40
WS36	252	34.70		1.00

