WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	593	61.26		1.40
WS2	720	55.69		1.40
WS3	201	44.55		0.80
WS4	146	25.70		1.00
WS5	121	17.56		1.00
WS6	124	19.28		1.00
WS7	232	17.99		1.60
WS8	442	58.26		1.00
WS9	161	18.85		0.80
WS10	317	45.41		1.00
WS11	146	19.28		1.00
WS12	782	47.98		1.40
WS13	308	32.99		1.20
WS14	400	32.99		1.40
WS15	154	15.85		1.00
WS16	236	32.56		1.00
WS17	152	17.99		1.00
WS18	137	15.85		1.00
WS19	155	27.42		0.80
WS20	420	54.41		1.00
WS21	121	14.57		1.00
WS22	198	15.85		1.40
WS23	151	30.84		0.80
WS24	186	39.84		0.80
WS25	124	25.27		1.00
WS26	178	36.41		0.80
WS27	172	22.70		0.80
WS28	190	53.98		0.60

