#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0     6847    0.507    2.892    1.155    13122    6.383
       1     4110    0.304    3.032    0.947     3388    6.377
       2     1697    0.126    2.825    0.811    10349    7.101
       3      846    0.063    3.194    1.004     9164    6.679
