WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	364	28.27		1.20
WS2	495	23.13		2.00
WS3	382	17.14		1.60
WS4	220	6.43		1.40
WS5	356	17.56		1.80
WS6	255	29.13		1.20
WS7	123	19.28		1.20
WS8	190	18.85		1.40
WS9	195	32.13		1.00
WS10	384	40.27		1.20
WS11	298	42.84		1.00
WS12	218	28.70		1.00
WS13	188	27.85		1.20
WS14	123	21.85		0.80
WS15	495	23.56		2.00
WS16	123	22.70		0.80

