WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	199	18.42		1.20
WS2	197	22.28		1.00
WS3	459	19.71		2.00
WS4	798	36.41		1.60
WS5	236	30.84		1.00
WS6	316	25.70		1.20
WS7	296	47.55		1.20
WS8	258	32.13		1.00
WS9	408	17.56		2.00
WS10	148	19.71		1.00
WS11	188	12.42		1.40
WS12	358	30.42		1.20
WS13	282	28.27		1.20
WS14	363	27.42		1.40
WS15	133	19.71		1.00
WS16	195	20.13		1.20
WS17	168	27.42		1.00
WS18	474	38.55		1.20
WS19	172	11.14		1.20
WS20	307	18.42		1.60
WS21	1009	76.68		1.40
WS22	440	33.41		1.60
WS23	547	52.69		1.60
WS24	299	40.70		1.00
WS25	651	59.12		1.20
WS26	183	15.42		1.20
WS27	921	62.54		1.40
WS28	123	15.85		1.00
WS29	298	50.55		1.20
WS30	208	18.85		1.20
WS31	138	14.99		1.00
WS32	145	18.42		1.20
WS33	126	17.56		0.80
WS34	168	12.42		1.40
WS35	302	53.12		1.00
WS36	176	40.27		0.80

