WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	392	22.70		1.40
WS2	253	20.99		1.40
WS3	757	34.27		1.80
WS4	174	21.42		1.00
WS5	164	17.99		1.00
WS6	244	21.85		1.20
WS7	201	20.13		1.20
WS8	140	15.42		1.20
WS9	290	23.56		1.20
WS10	131	15.42		1.20
WS11	162	18.42		1.20
WS12	124	31.27		1.00
WS13	238	17.56		1.20
WS14	149	13.71		1.20
WS15	140	16.71		1.00
WS16	151	22.70		1.00
WS17	359	26.13		1.40
WS18	604	44.12		1.40
WS19	128	28.27		0.80
WS20	218	23.13		1.20
WS21	132	15.42		1.20
WS22	293	20.99		1.20
WS23	159	21.85		1.00
WS24	278	34.27		1.20
WS25	209	36.84		1.00
WS26	304	31.70		1.00
WS27	298	53.55		0.80

