WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	185	29.99		1.00
WS2	146	17.14		1.20
WS3	162	35.56		0.80
WS4	443	40.27		1.20
WS5	279	26.13		1.80
WS6	300	29.13		1.20
WS7	238	39.84		1.00
WS8	130	18.42		1.00
WS9	278	59.12		0.80
WS10	243	14.57		1.40
WS11	122	16.28		1.00
WS12	175	31.70		0.80
WS13	205	46.69		0.80
WS14	554	41.55		1.40
WS15	546	79.25		1.00
WS16	193	16.28		1.40
WS17	348	83.96		0.80
WS18	324	18.85		1.40
WS19	138	28.27		0.80
WS20	477	48.84		1.40
WS21	207	31.27		1.00

