WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	264	17.99		1.20
WS2	281	17.99		1.40
WS3	913	79.68		1.20
WS4	195	22.28		1.20
WS5	123	14.99		1.00
WS6	188	22.28		1.20
WS7	199	30.42		1.00
WS8	690	51.84		1.60
WS9	410	20.56		1.40
WS10	248	23.56		1.20
WS11	819	27.42		2.60
WS12	336	25.70		1.20
WS13	128	21.85		1.00
WS14	456	23.13		1.40
WS15	285	23.13		1.20
WS16	306	17.56		1.60
WS17	153	16.71		1.00
WS18	941	79.68		1.40
WS19	235	19.71		1.40
WS20	217	19.71		1.20
WS21	367	37.27		1.20
WS22	190	18.42		1.20
WS23	147	32.56		0.80
WS24	149	17.99		1.00
WS25	440	62.12		1.00
WS26	276	22.70		1.40
WS27	420	23.13		1.40
WS28	183	21.42		1.00
WS29	364	26.56		1.60
WS30	120	18.85		1.00
WS31	196	27.42		1.00
WS32	151	23.56		0.80
WS33	184	18.85		1.20
WS34	310	19.71		1.60
WS35	158	26.13		1.00
WS36	200	25.70		1.20
WS37	196	23.13		1.20
WS38	236	20.13		1.40

