WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	675	36.41		1.60
WS2	285	27.42		1.20
WS3	618	28.70		1.80
WS4	873	68.54		1.20
WS5	246	19.28		1.40
WS6	123	16.28		1.00
WS7	365	21.42		1.20
WS8	526	24.85		1.60
WS9	437	34.27		1.40
WS10	410	64.26		1.00
WS11	418	21.42		1.40
WS12	209	23.99		1.00
WS13	205	17.99		1.40
WS14	233	21.42		1.20
WS15	228	20.13		1.20
WS16	309	31.70		1.20
WS17	154	22.28		1.00
WS18	266	28.27		1.20
WS19	137	17.14		1.00
WS20	135	24.42		1.00
WS21	129	20.56		1.20
WS22	276	41.55		1.00
WS23	120	12.85		1.00
WS24	317	22.70		1.20
WS25	134	21.85		1.00
WS26	879	56.55		1.40
WS27	522	75.82		1.00
WS28	136	21.42		1.00
WS29	479	42.84		1.20
WS30	488	31.27		1.20
WS31	193	11.14		1.20
WS32	211	13.71		1.20

