WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	247	37.27		1.00
WS2	365	73.68		0.80
WS3	338	24.85		1.40
WS4	180	15.42		1.40
WS5	418	33.41		1.40
WS6	443	19.28		1.80
WS7	132	29.99		0.80
WS8	131	24.42		0.80
WS9	293	39.41		1.00
WS10	412	58.26		1.20
WS11	393	34.27		1.20
WS12	182	28.70		0.80
WS13	396	41.13		1.20
WS14	387	59.12		1.00
WS15	144	20.13		1.00
WS16	179	48.84		0.80
WS17	213	29.13		1.00
WS18	165	24.85		1.20
WS19	132	38.13		0.60
WS20	328	52.26		0.80
WS21	283	27.42		1.40

