WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	408	28.27		1.20
WS2	232	25.70		1.20
WS3	237	25.70		1.00
WS4	194	29.13		1.00
WS5	149	22.28		1.00
WS6	533	47.12		1.20
WS7	209	27.85		1.00
WS8	259	45.84		1.00
WS9	304	26.13		1.40
WS10	298	29.56		1.40
WS11	710	44.98		1.40
WS12	636	79.68		1.20
WS13	359	97.67		0.80
WS14	159	14.14		1.20
WS15	191	28.70		1.00
WS16	138	29.13		1.00
WS17	560	27.85		1.60
WS18	127	21.85		1.20
WS19	201	36.41		1.00
WS20	930	176.50		1.00
WS21	198	50.98		0.60
WS22	253	64.69		0.80
WS23	340	85.25		0.80
WS24	147	20.56		1.00
WS25	174	45.84		0.80
WS26	130	23.13		0.80

