WS	#TotWat	WFP(r=0.60)	r(pop=0.90)
WS1	175	26.13		1.20
WS2	246	39.84		1.00
WS3	290	32.13		1.20
WS4	331	21.85		1.40
WS5	204	28.70		1.00
WS6	174	38.55		0.80
WS7	167	22.28		1.00
WS8	239	55.26		0.80
WS9	193	40.27		0.80
WS10	145	38.55		0.60
WS11	172	46.69		0.80
WS12	255	44.98		1.00
WS13	257	35.56		1.20

